run_key,difficulty_level_raw,included_in_modeling,exclusion_reason
sub-cp033_ses-20211215_level-01B_run-012,level-01B,True,
sub-cp033_ses-20211215_level-02B_run-003,level-02B,True,
sub-cp033_ses-20211215_level-02B_run-008,level-02B,True,
sub-cp033_ses-20211215_level-02B_run-010,level-02B,True,
sub-cp033_ses-20211215_level-03B_run-002,level-03B,True,
sub-cp033_ses-20211215_level-03B_run-005,level-03B,True,
sub-cp033_ses-20211215_level-03B_run-011,level-03B,True,
sub-cp033_ses-20211215_level-04B_run-004,level-04B,True,
sub-cp033_ses-20211215_level-04B_run-006,level-04B,True,
sub-cp033_ses-20211215_level-04B_run-009,level-04B,True,
sub-cp035_ses-20220125_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp035_ses-20220125_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp035_ses-20220125_level-01B_run-001,level-01B,True,
sub-cp035_ses-20220125_level-01B_run-007,level-01B,True,
sub-cp035_ses-20220125_level-01B_run-012,level-01B,True,
sub-cp035_ses-20220125_level-02B_run-003,level-02B,True,
sub-cp035_ses-20220125_level-02B_run-008,level-02B,True,
sub-cp035_ses-20220125_level-02B_run-010,level-02B,True,
sub-cp035_ses-20220125_level-03B_run-002,level-03B,True,
sub-cp035_ses-20220125_level-03B_run-005,level-03B,True,
sub-cp035_ses-20220125_level-03B_run-011,level-03B,True,
sub-cp035_ses-20220125_level-04B_run-004,level-04B,True,
sub-cp035_ses-20220125_level-04B_run-006,level-04B,True,
sub-cp035_ses-20220125_level-04B_run-009,level-04B,True,
sub-cp036_ses-20211218_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp036_ses-20211218_level-01B_run-001,level-01B,True,
sub-cp036_ses-20211218_level-01B_run-007,level-01B,True,
sub-cp036_ses-20211218_level-01B_run-012,level-01B,True,
sub-cp036_ses-20211218_level-02B_run-003,level-02B,True,
sub-cp036_ses-20211218_level-02B_run-008,level-02B,True,
sub-cp036_ses-20211218_level-02B_run-010,level-02B,True,
sub-cp036_ses-20211218_level-03B_run-002,level-03B,True,
sub-cp036_ses-20211218_level-03B_run-005,level-03B,True,
sub-cp036_ses-20211218_level-03B_run-011,level-03B,True,
sub-cp036_ses-20211218_level-04B_run-004,level-04B,True,
sub-cp036_ses-20211218_level-04B_run-006,level-04B,True,
sub-cp036_ses-20211218_level-04B_run-009,level-04B,True,
sub-cp037_ses-20210113_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp037_ses-20210113_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp037_ses-20210113_level-01B_run-001,level-01B,True,
sub-cp037_ses-20210113_level-01B_run-007,level-01B,True,
sub-cp037_ses-20210113_level-01B_run-012,level-01B,True,
sub-cp037_ses-20210113_level-02B_run-003,level-02B,True,
sub-cp037_ses-20210113_level-02B_run-008,level-02B,True,
sub-cp037_ses-20210113_level-02B_run-010,level-02B,True,
sub-cp037_ses-20210113_level-03B_run-002,level-03B,True,
sub-cp037_ses-20210113_level-03B_run-005,level-03B,True,
sub-cp037_ses-20210113_level-03B_run-011,level-03B,True,
sub-cp037_ses-20210113_level-04B_run-004,level-04B,True,
sub-cp037_ses-20210113_level-04B_run-006,level-04B,True,
sub-cp037_ses-20210113_level-04B_run-009,level-04B,True,
sub-cp038_ses-20220112_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp038_ses-20220112_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp038_ses-20220112_level-01B_run-001,level-01B,True,
sub-cp038_ses-20220112_level-01B_run-007,level-01B,True,
sub-cp038_ses-20220112_level-01B_run-012,level-01B,True,
sub-cp038_ses-20220112_level-02B_run-003,level-02B,True,
sub-cp038_ses-20220112_level-02B_run-008,level-02B,True,
sub-cp038_ses-20220112_level-02B_run-010,level-02B,True,
sub-cp038_ses-20220112_level-03B_run-002,level-03B,True,
sub-cp038_ses-20220112_level-03B_run-005,level-03B,True,
sub-cp038_ses-20220112_level-03B_run-011,level-03B,True,
sub-cp038_ses-20220112_level-04B_run-004,level-04B,True,
sub-cp038_ses-20220112_level-04B_run-006,level-04B,True,
sub-cp038_ses-20220112_level-04B_run-009,level-04B,True,
sub-cp039_ses-20211219_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp039_ses-20211219_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp039_ses-20211219_level-01B_run-001,level-01B,True,
sub-cp039_ses-20211219_level-01B_run-007,level-01B,True,
sub-cp039_ses-20211219_level-01B_run-012,level-01B,True,
sub-cp039_ses-20211219_level-02B_run-003,level-02B,True,
sub-cp039_ses-20211219_level-02B_run-008,level-02B,True,
sub-cp039_ses-20211219_level-02B_run-010,level-02B,True,
sub-cp039_ses-20211219_level-03B_run-002,level-03B,True,
sub-cp039_ses-20211219_level-03B_run-005,level-03B,True,
sub-cp039_ses-20211219_level-03B_run-011,level-03B,True,
sub-cp039_ses-20211219_level-04B_run-004,level-04B,True,
sub-cp039_ses-20211219_level-04B_run-006,level-04B,True,
sub-cp039_ses-20211219_level-04B_run-009,level-04B,True,
sub-cp042_ses-20220111_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp042_ses-20220111_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp042_ses-20220111_level-01B_run-001,level-01B,True,
sub-cp042_ses-20220111_level-01B_run-007,level-01B,True,
sub-cp042_ses-20220111_level-01B_run-012,level-01B,True,
sub-cp042_ses-20220111_level-02B_run-003,level-02B,True,
sub-cp042_ses-20220111_level-02B_run-008,level-02B,True,
sub-cp042_ses-20220111_level-02B_run-010,level-02B,True,
sub-cp042_ses-20220111_level-03B_run-002,level-03B,True,
sub-cp042_ses-20220111_level-03B_run-005,level-03B,True,
sub-cp042_ses-20220111_level-03B_run-011,level-03B,True,
sub-cp042_ses-20220111_level-04B_run-004,level-04B,True,
sub-cp042_ses-20220111_level-04B_run-006,level-04B,True,
sub-cp042_ses-20220111_level-04B_run-009,level-04B,True,
sub-cp043_ses-20220127_level-000_run-001,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp043_ses-20220127_level-000_run-002,level-000,False,REST_LEVEL_000_NOT_PART_OF_CLASSIFICATION_REGRESSION_TASK
sub-cp043_ses-20220127_level-01B_run-001,level-01B,True,
sub-cp043_ses-20220127_level-01B_run-007,level-01B,True,
sub-cp043_ses-20220127_level-01B_run-012,level-01B,True,
sub-cp043_ses-20220127_level-02B_run-003,level-02B,True,
sub-cp043_ses-20220127_level-02B_run-008,level-02B,True,
sub-cp043_ses-20220127_level-02B_run-010,level-02B,True,
sub-cp043_ses-20220127_level-03B_run-002,level-03B,True,
sub-cp043_ses-20220127_level-03B_run-005,level-03B,True,
sub-cp043_ses-20220127_level-03B_run-011,level-03B,True,
sub-cp043_ses-20220127_level-04B_run-004,level-04B,True,
sub-cp043_ses-20220127_level-04B_run-006,level-04B,True,
sub-cp043_ses-20220127_level-04B_run-009,level-04B,True,
